Valid Indices,Volume,Fission RX,Avg Fission RX,Fission RX g1,Avg Fission RX g1,Fission RX g2,Avg Fission RX g2,Fission RX g3,Avg Fission RX g3,Fission RX g4,Avg Fission RX g4,Fission RX g5,Avg Fission RX g5,Fission RX g6,Avg Fission RX g6,Fission RX g7,Avg Fission RX g7,Scalar Flux,Avg Scalar Flux,Scalar Flux g1,Avg Scalar Flux g1,Scalar Flux g2,Avg Scalar Flux g2,Scalar Flux g3,Avg Scalar Flux g3,Scalar Flux g4,Avg Scalar Flux g4,Scalar Flux g5,Avg Scalar Flux g5,Scalar Flux g6,Avg Scalar Flux g6,Scalar Flux g7,Avg Scalar Flux g7
208,2.43701015,6.32770830,5.14902819,0.48901169,0.39792210,0.11965841,0.09736930,0.41978680,0.34159192,0.41087910,0.33434349,0.26950147,0.21930067,1.22775626,0.99905863,3.39111458,2.75944207,690.46292809,283.32377969,133.42507379,54.74949439,287.62246311,118.02267733,129.63959004,53.19616326,44.76986995,18.37081798,30.44192022,12.49150323,30.40999048,12.47840122,34.15402049,14.01472227
209,2.18778225,7.16245157,5.23523004,0.54966164,0.40176260,0.13437109,0.09821547,0.46875364,0.34262475,0.46174345,0.33750081,0.31083296,0.22719623,1.41752921,1.03611053,3.81955958,2.79181965,623.47208416,284.97903940,121.06316818,55.33602266,260.66726863,119.14680658,116.38811403,53.19913076,40.11922680,18.33785185,27.88210120,12.74445900,27.65019634,12.63845903,29.70200900,13.57630952
210,2.42205032,6.35071985,5.14730117,0.49125382,0.39816453,0.12016242,0.09739245,0.42153830,0.34165963,0.41297463,0.33471871,0.27118556,0.21979772,1.23405864,1.00021283,3.39954647,2.75535529,685.95667657,283.21322315,132.55777992,54.72957314,285.79716391,117.99802921,128.83015174,53.19053485,44.49342734,18.37014989,30.24210945,12.48616069,30.17691394,12.45924320,33.85913027,13.97953216
211,1.93458526,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,510.64484861,263.95572208,103.83848151,53.67480244,226.63097552,117.14706014,99.38087387,51.37063538,30.31014604,15.66751629,18.39081558,9.50633502,16.41275902,8.48386441,15.68079705,8.10550840
212,2.42205032,6.35071985,5.14730117,0.49125382,0.39816453,0.12016242,0.09739245,0.42153830,0.34165963,0.41297463,0.33471871,0.27118556,0.21979772,1.23405864,1.00021283,3.39954647,2.75535529,685.95667657,283.21322315,132.55777992,54.72957314,285.79716391,117.99802921,128.83015174,53.19053485,44.49342734,18.37014989,30.24210945,12.48616069,30.17691394,12.45924320,33.85913027,13.97953216
213,2.18778225,7.16245157,5.23523004,0.54966164,0.40176260,0.13437109,0.09821547,0.46875364,0.34262475,0.46174345,0.33750081,0.31083296,0.22719623,1.41752921,1.03611053,3.81955958,2.79181965,623.47208416,284.97903940,121.06316818,55.33602266,260.66726863,119.14680658,116.38811403,53.19913076,40.11922680,18.33785185,27.88210120,12.74445900,27.65019634,12.63845903,29.70200900,13.57630952
214,2.43701015,6.32770830,5.14902819,0.48901169,0.39792210,0.11965841,0.09736930,0.41978680,0.34159192,0.41087910,0.33434349,0.26950147,0.21930067,1.22775626,0.99905863,3.39111458,2.75944207,690.46292809,283.32377969,133.42507379,54.74949439,287.62246311,118.02267733,129.63959004,53.19616326,44.76986995,18.37081798,30.44192022,12.49150323,30.40999048,12.47840122,34.15402049,14.01472227
215,2.18778225,7.16245157,5.23523004,0.54966164,0.40176260,0.13437109,0.09821547,0.46875364,0.34262475,0.46174345,0.33750081,0.31083296,0.22719623,1.41752921,1.03611053,3.81955958,2.79181965,623.47208416,284.97903940,121.06316818,55.33602266,260.66726863,119.14680658,116.38811403,53.19913076,40.11922680,18.33785185,27.88210120,12.74445900,27.65019634,12.63845903,29.70200900,13.57630952
216,2.19071312,7.08395516,5.23064823,0.54420168,0.40182744,0.13301792,0.09821772,0.46404836,0.34264386,0.45717906,0.33757171,0.30778691,0.22726359,1.40303794,1.03597464,3.77468330,2.78714928,624.17628087,284.91922379,121.21667986,55.33206467,261.00367061,119.14096309,116.54285327,53.19859198,40.16995956,18.33647649,27.91332546,12.74166172,27.66590133,12.62871944,29.66389079,13.54074642
217,2.43114842,6.30798196,5.14191420,0.48846034,0.39816556,0.11947410,0.09738861,0.41912600,0.34164808,0.41049963,0.33461635,0.26935155,0.21956032,1.22562856,0.99906387,3.37544178,2.75147141,688.64612022,283.25959625,133.08741578,54.74261243,286.91857492,118.01771229,129.33064583,53.19734686,44.67178358,18.37476609,30.37184252,12.49279651,30.30502004,12.46531054,33.96083754,13.96905152
218,2.19071312,7.08395516,5.23064823,0.54420168,0.40182744,0.13301792,0.09821772,0.46404836,0.34264386,0.45717906,0.33757171,0.30778691,0.22726359,1.40303794,1.03597464,3.77468330,2.78714928,624.17628087,284.91922379,121.21667986,55.33206467,261.00367061,119.14096309,116.54285327,53.19859198,40.16995956,18.33647649,27.91332546,12.74166172,27.66590133,12.62871944,29.66389079,13.54074642
219,2.42205032,6.28134602,5.13686920,0.48680179,0.39810530,0.11907896,0.09738248,0.41775866,0.34164199,0.40918246,0.33462840,0.26857374,0.21963894,1.22134751,0.99881496,3.35860290,2.74665712,685.82177443,283.15752565,132.54103216,54.72265844,285.78559459,117.99325254,128.83094073,53.19086061,44.49127334,18.36926056,30.23780414,12.48438315,30.15571514,12.45049078,33.77941433,13.94661957
220,1.93458526,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,510.51362286,263.88789062,103.83521055,53.67311166,226.61927443,117.14101176,99.37613327,51.36818492,30.30854182,15.66668706,18.38564499,9.50366231,16.38692933,8.47051287,15.60188848,8.06472003
221,2.42205032,6.28134602,5.13686920,0.48680179,0.39810530,0.11907896,0.09738248,0.41775866,0.34164199,0.40918246,0.33462840,0.26857374,0.21963894,1.22134751,0.99881496,3.35860290,2.74665712,685.82177443,283.15752565,132.54103216,54.72265844,285.78559459,117.99325254,128.83094073,53.19086061,44.49127334,18.36926056,30.23780414,12.48438315,30.15571514,12.45049078,33.77941433,13.94661957
222,2.19071312,7.08395516,5.23064823,0.54420168,0.40182744,0.13301792,0.09821772,0.46404836,0.34264386,0.45717906,0.33757171,0.30778691,0.22726359,1.40303794,1.03597464,3.77468330,2.78714928,624.17628087,284.91922379,121.21667986,55.33206467,261.00367061,119.14096309,116.54285327,53.19859198,40.16995956,18.33647649,27.91332546,12.74166172,27.66590133,12.62871944,29.66389079,13.54074642
223,2.43114842,6.30798196,5.14191420,0.48846034,0.39816556,0.11947410,0.09738861,0.41912600,0.34164808,0.41049963,0.33461635,0.26935155,0.21956032,1.22562856,0.99906387,3.37544178,2.75147141,688.64612022,283.25959625,133.08741578,54.74261243,286.91857492,118.01771229,129.33064583,53.19734686,44.67178358,18.37476609,30.37184252,12.49279651,30.30502004,12.46531054,33.96083754,13.96905152
