CMFD Cell,FSR id,Centroid
23,915,"0.517901,-1.005615,-81.829907"
23,914,"0.516756,-1.004718,-86.940734"
23,3806,"0.570064,-1.024827,-86.965134"
24,1729,"1.288152,-0.637891,-86.979933"
24,2479,"1.179234,-0.737875,-81.909667"
24,1728,"1.214037,-0.714570,-93.472055"
24,2478,"1.173060,-0.742293,-86.962977"
24,1961,"1.180386,-0.761026,-86.981340"
24,4047,"1.179019,-0.734611,-81.930927"
24,1730,"1.296372,-0.634410,-81.954642"
24,4046,"1.176095,-0.744268,-86.967153"
24,1962,"1.175490,-0.755935,-81.977456"
25,2836,"1.790734,-0.401949,-81.851813"
25,3007,"1.903361,-0.429125,-81.958897"
25,3021,"1.837117,-0.270520,-86.946734"
25,3006,"1.901482,-0.422170,-86.984419"
25,3022,"1.838059,-0.279156,-81.908314"
25,836,"1.863256,-0.422033,-81.951990"
25,835,"1.860839,-0.411920,-86.964690"
25,834,"1.826516,-0.359657,-93.464437"
25,2835,"1.788934,-0.398315,-86.920955"
26,182,"2.373405,-0.000000,-81.925401"
26,180,"2.423317,0.000000,-93.500594"
26,406,"2.345753,-0.000000,-81.912817"
26,4031,"2.374648,0.000000,-86.969522"
26,405,"2.345033,-0.000000,-86.955031"
26,4032,"2.375240,-0.000000,-81.928296"
26,2850,"2.519614,-0.000000,-86.950431"
26,181,"2.372762,-0.000000,-86.968285"
26,2851,"2.516999,0.000000,-81.841558"
28,520,"-1.794105,-1.713064,-93.463702"
28,2914,"-1.692954,-1.709497,-86.995863"
28,521,"-1.740554,-1.769114,-86.920988"
28,3896,"-1.708106,-1.722526,-81.946982"
28,1426,"-1.871364,-1.677316,-86.985613"
28,3895,"-1.717244,-1.722466,-86.920813"
28,1427,"-1.875609,-1.679257,-81.970030"
28,2915,"-1.688503,-1.711567,-81.992334"
28,522,"-1.732583,-1.770296,-81.914220"
29,41,"-1.071444,-1.442240,-86.934723"
29,42,"-1.072173,-1.451377,-81.917212"
29,40,"-1.183000,-1.378928,-93.489683"
29,2348,"-1.219773,-1.354631,-86.957267"
29,2657,"-1.224494,-1.355722,-81.933376"
29,3346,"-1.227066,-1.350572,-86.974594"
29,2656,"-1.223551,-1.348868,-86.953711"
29,3347,"-1.224213,-1.356541,-81.920839"
29,2349,"-1.219207,-1.355520,-81.871846"
30,1254,"-0.558012,-1.022106,-86.944263"
30,1293,"-0.654956,-1.064052,-86.919868"
30,3824,"-0.569073,-1.018911,-81.876014"
30,1253,"-0.614068,-1.045598,-93.485011"
30,1294,"-0.653508,-1.064448,-81.833522"
30,3980,"-0.516756,-1.004718,-86.940734"
30,3823,"-0.570064,-1.024827,-86.965134"
30,3981,"-0.517901,-1.005615,-81.829907"
30,1255,"-0.558755,-1.022942,-81.833879"
31,1377,"0.000000,-0.739921,-86.984285"
31,2820,"0.000000,-0.736075,-86.955716"
31,1027,"-0.000000,-0.736266,-86.955808"
31,2821,"0.000000,-0.737571,-81.846606"
31,1028,"-0.000000,-0.737761,-81.846411"
31,3501,"-0.000000,-0.711341,-81.846970"
31,3500,"-0.000000,-0.712634,-86.955937"
31,1378,"0.000000,-0.733655,-81.983351"
31,1026,"-0.000000,-0.728995,-93.481932"
32,1011,"0.566282,-0.437213,-86.927397"
32,1012,"0.565020,-0.441607,-81.891596"
32,929,"0.606361,-0.355632,-93.466342"
32,3648,"0.651065,-0.385518,-81.894310"
32,3128,"0.626143,-0.244958,-86.951071"
32,3647,"0.656858,-0.374869,-86.947476"
32,931,"0.690834,-0.356940,-81.878422"
32,930,"0.697139,-0.347782,-86.943410"
32,3129,"0.624424,-0.249702,-81.879695"
33,301,"1.222456,-0.000000,-86.966584"
33,1087,"1.225378,0.000000,-81.905422"
33,3406,"1.210899,-0.000000,-86.969413"
33,3708,"1.209349,-0.000000,-86.970711"
33,302,"1.221680,-0.000000,-81.860119"
33,3407,"1.210709,-0.000000,-81.928418"
33,300,"1.221253,-0.000000,-93.500385"
33,3709,"1.209171,-0.000000,-81.931463"
33,1086,"1.225382,0.000000,-86.952966"
34,2866,"1.790734,0.401949,-81.851813"
34,3838,"1.837117,0.270520,-86.946734"
34,3580,"1.903361,0.429125,-81.958897"
34,2408,"1.826516,0.359657,-93.464437"
34,3839,"1.838059,0.279156,-81.908314"
34,2865,"1.788934,0.398315,-86.920955"
34,3579,"1.901482,0.422170,-86.984419"
34,2410,"1.863256,0.422033,-81.951990"
34,2409,"1.860839,0.411920,-86.964690"
35,3331,"2.445025,0.735653,-86.964289"
35,2268,"2.327359,0.717678,-86.962599"
35,350,"2.410323,0.730144,-93.483355"
35,351,"2.441571,0.742238,-86.983002"
35,352,"2.443744,0.736343,-81.985236"
35,3272,"2.445336,0.733769,-81.866278"
35,3332,"2.444870,0.734785,-81.855274"
35,3271,"2.444452,0.737303,-86.975743"
35,2269,"2.326123,0.716466,-81.862174"
36,3876,"-2.395383,-1.376518,-86.960536"
36,2333,"-2.389569,-1.370130,-86.953073"
36,971,"-2.395367,-1.381292,-81.929110"
36,1848,"-2.377503,-1.350176,-86.893506"
36,970,"-2.391758,-1.373545,-86.976944"
36,1849,"-2.381789,-1.364950,-81.911027"
36,2334,"-2.395445,-1.380720,-81.940050"
36,3877,"-2.395922,-1.377714,-81.875973"
36,969,"-2.393421,-1.375580,-93.486484"
37,2072,"-1.781352,-1.066813,-86.954720"
37,3242,"-1.781869,-1.066962,-81.846089"
37,2556,"-1.836571,-1.038300,-81.873187"
37,2555,"-1.836149,-1.042514,-86.959602"
37,2620,"-1.783925,-1.066751,-81.832335"
37,2619,"-1.783366,-1.066440,-86.920346"
37,2073,"-1.781992,-1.066932,-81.845870"
37,3241,"-1.781227,-1.066844,-86.954675"
37,2071,"-1.793100,-1.061585,-93.483601"
38,874,"-1.214037,-0.714570,-93.472055"
38,2990,"-1.175490,-0.755935,-81.977456"
38,876,"-1.179019,-0.734611,-81.930927"
38,2989,"-1.180386,-0.761026,-86.981340"
38,1217,"-1.296372,-0.634410,-81.954642"
38,3739,"-1.179234,-0.737875,-81.909667"
38,875,"-1.176095,-0.744268,-86.967153"
38,1216,"-1.288152,-0.637891,-86.979933"
38,3738,"-1.173060,-0.742293,-86.962977"
39,2315,"-0.565020,-0.441607,-81.891596"
39,3932,"-0.651065,-0.385518,-81.894310"
39,2689,"-0.624424,-0.249702,-81.879695"
39,2313,"-0.606361,-0.355632,-93.466342"
39,2588,"-0.690834,-0.356940,-81.878422"
