Start,End
"1.407411,3.132707","1.250000,3.500000"
"2.505357,1.737500","2.450053,1.866543"
"2.450053,1.866543","2.370815,2.051433"
"2.370815,2.051433","2.207500,2.432500"
"2.207500,2.432500","2.036298,2.831971"
"2.036298,2.831971","1.760714,3.475000"
"1.760714,3.475000","1.750000,3.500000"
"2.665185,2.531235","2.409643,3.127500"
"2.409643,3.127500","2.250000,3.500000"
"2.781205,3.427188","2.750000,3.500000"
"-2.400000,-3.500000","-2.736156,-3.349161"
"-1.200000,-3.500000","-1.533157,-3.350506"
"-1.533157,-3.350506","-2.170547,-3.064498"
"-2.170547,-3.064498","-2.807937,-2.778490"
"-0.330159,-3.351852","-0.967549,-3.065844"
"-0.967549,-3.065844","-1.604939,-2.779835"
"-1.604939,-2.779835","-2.146754,-2.536713"
"-2.146754,-2.536713","-2.379000,-2.432500"
"-2.379000,-2.432500","-2.688313,-2.293706"
"-0.400100,-2.782006","-0.404571,-2.780000"
"-0.941659,-2.538999","-1.179000,-2.432500"
"-1.483217,-2.295992","-1.953429,-2.085000"
"-2.024776,-2.052985","-2.484159,-1.846852"
"-2.484159,-1.846852","-2.632805,-1.780152"
"2.632805,1.780152","2.484159,1.846852"
"2.484159,1.846852","2.024776,2.052985"
"1.953429,2.085000","1.483217,2.295992"
"1.179000,2.432500","0.941659,2.538999"
"0.404571,2.780000","0.400100,2.782006"
"2.688313,2.293706","2.379000,2.432500"
"2.379000,2.432500","2.146754,2.536713"
"2.146754,2.536713","1.604939,2.779835"
"1.604939,2.779835","0.967549,3.065844"
"0.967549,3.065844","0.330159,3.351852"
"2.807937,2.778490","2.170547,3.064498"
"2.170547,3.064498","1.533157,3.350506"
"1.533157,3.350506","1.200000,3.500000"
"2.736156,3.349161","2.400000,3.500000"
