Start,End
"-1.533157,3.350506","-1.200000,3.500000"
"-3.000000,3.230769","-2.736156,3.349161"
"-2.736156,3.349161","-2.400000,3.500000"
"2.750000,-3.500000","2.781205,-3.427188"
"2.781205,-3.427188","3.000000,-2.916667"
"2.250000,-3.500000","2.409643,-3.127500"
"2.409643,-3.127500","2.665185,-2.531235"
"2.665185,-2.531235","2.856429,-2.085000"
"2.856429,-2.085000","3.000000,-1.750000"
"1.750000,-3.500000","1.760714,-3.475000"
"1.760714,-3.475000","2.036298,-2.831971"
"2.036298,-2.831971","2.207500,-2.432500"
"2.207500,-2.432500","2.370815,-2.051433"
"2.370815,-2.051433","2.450053,-1.866543"
"2.450053,-1.866543","2.505357,-1.737500"
"2.720120,-1.236386","2.841500,-0.953167"
"2.841500,-0.953167","2.952143,-0.695000"
"2.952143,-0.695000","2.962000,-0.672000"
"2.962000,-0.672000","3.000000,-0.583333"
"1.250000,-3.500000","1.407411,-3.132707"
"1.407411,-3.132707","1.424732,-3.092291"
"1.424732,-3.092291","1.578367,-2.733811"
"1.578367,-2.733811","1.706419,-2.435021"
"1.706419,-2.435021","1.785658,-2.250131"
"1.785658,-2.250131","1.856429,-2.085000"
"2.775056,0.058463","2.841500,0.213500"
"2.841500,0.213500","2.962000,0.494667"
"2.962000,0.494667","3.000000,0.583333"
"0.750000,-3.500000","0.760714,-3.475000"
"0.760714,-3.475000","0.949480,-3.034547"
"0.949480,-3.034547","1.042024,-2.818610"
"1.042024,-2.818610","1.121263,-2.633720"
"1.121263,-2.633720","1.207500,-2.432500"
"2.659035,0.954416","2.841500,1.380167"
"2.841500,1.380167","2.845714,1.390000"
"2.845714,1.390000","2.962000,1.661333"
"2.962000,1.661333","3.000000,1.750000"
"0.250000,-3.500000","0.320593,-3.335283"
"0.320593,-3.335283","0.377629,-3.202199"
"0.377629,-3.202199","0.456868,-3.017309"
"0.456868,-3.017309","0.558571,-2.780000"
"2.713971,2.249265","2.941429,2.780000"
"2.941429,2.780000","3.000000,2.916667"
"-0.250000,-3.500000","-0.173003,-3.320340"
"-0.173003,-3.320340","-0.125199,-3.208798"
"-0.125199,-3.208798","-0.090357,-3.127500"
"-0.750000,-3.500000","-0.739286,-3.475000"
"0.739286,3.475000","0.750000,3.500000"
"0.090357,3.127500","0.125199,3.208798"
"0.125199,3.208798","0.173003,3.320340"
"0.173003,3.320340","0.250000,3.500000"
"-3.000000,-2.916667","-2.941429,-2.780000"
"-2.941429,-2.780000","-2.713971,-2.249265"
"-0.558571,2.780000","-0.456868,3.017309"
"-0.456868,3.017309","-0.377629,3.202199"
"-0.377629,3.202199","-0.320593,3.335283"
"-0.320593,3.335283","-0.250000,3.500000"
"-3.000000,-1.750000","-2.962000,-1.661333"
"-2.962000,-1.661333","-2.845714,-1.390000"
"-2.845714,-1.390000","-2.841500,-1.380167"
"-2.841500,-1.380167","-2.659035,-0.954416"
"-1.207500,2.432500","-1.121263,2.633720"
"-1.121263,2.633720","-1.042024,2.818610"
"-1.042024,2.818610","-0.949480,3.034547"
"-0.949480,3.034547","-0.760714,3.475000"
"-0.760714,3.475000","-0.750000,3.500000"
"-3.000000,-0.583333","-2.962000,-0.494667"
"-2.962000,-0.494667","-2.841500,-0.213500"
"-2.841500,-0.213500","-2.775056,-0.058463"
"-1.856429,2.085000","-1.785658,2.250132"
"-1.785658,2.250132","-1.706419,2.435021"
"-1.706419,2.435021","-1.578367,2.733811"
"-1.578367,2.733811","-1.424732,3.092291"
"-1.424732,3.092291","-1.407411,3.132707"
"-1.407411,3.132707","-1.250000,3.500000"
"-3.000000,0.583333","-2.962000,0.672000"
"-2.962000,0.672000","-2.952143,0.695000"
"-2.952143,0.695000","-2.841500,0.953167"
"-2.841500,0.953167","-2.720120,1.236386"
"-2.505357,1.737500","-2.450053,1.866543"
"-2.450053,1.866543","-2.370815,2.051433"
"-2.370815,2.051433","-2.207500,2.432500"
"-2.207500,2.432500","-2.036298,2.831971"
"-2.036298,2.831971","-1.760714,3.475000"
"-1.760714,3.475000","-1.750000,3.500000"
"-3.000000,1.750000","-2.856429,2.085000"
"-2.856429,2.085000","-2.665185,2.531235"
"-2.665185,2.531235","-2.409643,3.127500"
"-2.409643,3.127500","-2.250000,3.500000"
"-3.000000,2.916667","-2.781205,3.427188"
"-2.781205,3.427188","-2.750000,3.500000"
"-2.781205,-3.427188","-3.000000,-2.916667"
"-2.665185,-2.531235","-2.856429,-2.085000"
"-2.856429,-2.085000","-3.000000,-1.750000"
"-2.720120,-1.236386","-2.841500,-0.953167"
"-2.841500,-0.953167","-2.952143,-0.695000"
"-2.952143,-0.695000","-2.962000,-0.672000"
"-2.962000,-0.672000","-3.000000,-0.583333"
"-2.775056,0.058463","-2.841500,0.213500"
"-2.841500,0.213500","-2.962000,0.494667"
"-2.962000,0.494667","-3.000000,0.583333"
"-0.750000,-3.500000","-0.760714,-3.475000"
"-2.659035,0.954416","-2.841500,1.380167"
"-2.841500,1.380167","-2.845714,1.390000"
"-2.845714,1.390000","-2.962000,1.661333"
"-2.962000,1.661333","-3.000000,1.750000"
"-0.250000,-3.500000","-0.320593,-3.335283"
"-2.494643,1.737500","-2.530132,1.820309"
"-2.530132,1.820309","-2.577936,1.931851"
"-2.577936,1.931851","-2.713971,2.249265"
"-2.713971,2.249265","-2.941429,2.780000"
"-2.941429,2.780000","-3.000000,2.916667"
"0.250000,-3.500000","0.173003,-3.320340"
"0.173003,-3.320340","0.125199,-3.208798"
"0.125199,-3.208798","0.090357,-3.127500"
"-2.085084,1.948529","-2.129310,2.051724"
"-2.129310,2.051724","-2.177114,2.163266"
"-2.177114,2.163266","-2.292500,2.432500"
"-2.292500,2.432500","-2.590357,3.127500"
"-2.590357,3.127500","-2.750000,3.500000"
"0.750000,-3.500000","0.739286,-3.475000"
"0.739286,-3.475000","0.573825,-3.088925"
"0.573825,-3.088925","0.526021,-2.977383"
"0.526021,-2.977383","0.441429,-2.780000"
"-1.643571,2.085000","-1.728488,2.283139"
"-1.728488,2.283139","-1.776292,2.394681"
"-1.776292,2.394681","-1.941429,2.780000"
"-1.941429,2.780000","-2.140019,3.243378"
"-2.140019,3.243378","-2.250000,3.500000"
"1.250000,-3.500000","1.090357,-3.127500"
"1.090357,-3.127500","0.974647,-2.857510"
"0.974647,-2.857510","0.926844,-2.745968"
"0.926844,-2.745968","0.882245,-2.641906"
"-1.292500,2.432500","-1.327666,2.514553"
"-1.327666,2.514553","-1.375469,2.626095"
"-1.375469,2.626095","-1.511132,2.942642"
"-1.511132,2.942642","-1.739286,3.475000"
"-1.739286,3.475000","-1.750000,3.500000"
"1.750000,-3.500000","1.739286,-3.475000"
"1.739286,-3.475000","1.511132,-2.942642"
"1.511132,-2.942642","1.375469,-2.626095"
"1.375469,-2.626095","1.327666,-2.514553"
"1.327666,-2.514553","1.292500,-2.432500"
"-0.882245,2.641906","-0.926844,2.745968"
"-0.926844,2.745968","-0.974647,2.857510"
"-0.974647,2.857510","-1.090357,3.127500"
"-1.090357,3.127500","-1.250000,3.500000"
"2.250000,-3.500000","2.140019,-3.243378"
"2.140019,-3.243378","1.941429,-2.780000"
"1.941429,-2.780000","1.776292,-2.394681"
"1.776292,-2.394681","1.728488,-2.283139"
"1.728488,-2.283139","1.643571,-2.085000"
"-0.441429,2.780000","-0.526021,2.977383"
"-0.526021,2.977383","-0.573825,3.088925"
"-0.573825,3.088925","-0.739286,3.475000"
"-0.739286,3.475000","-0.750000,3.500000"
"2.750000,-3.500000","2.590357,-3.127500"
"2.590357,-3.127500","2.292500,-2.432500"
"2.292500,-2.432500","2.177114,-2.163266"
"2.177114,-2.163266","2.129310,-2.051724"
"2.129310,-2.051724","2.085084,-1.948529"
"-0.090357,3.127500","-0.125199,3.208798"
"-0.125199,3.208798","-0.173003,3.320340"
"-0.173003,3.320340","-0.250000,3.500000"
"3.000000,-2.916667","2.941429,-2.780000"
"2.941429,-2.780000","2.713971,-2.249265"
"2.713971,-2.249265","2.577936,-1.931851"
"2.577936,-1.931851","2.530132,-1.820309"
"2.530132,-1.820309","2.494643,-1.737500"
"0.320593,3.335283","0.250000,3.500000"
"3.000000,-1.750000","2.962000,-1.661333"
"2.962000,-1.661333","2.845714,-1.390000"
"2.845714,-1.390000","2.841500,-1.380167"
"2.841500,-1.380167","2.659035,-0.954416"
"0.760714,3.475000","0.750000,3.500000"
"3.000000,-0.583333","2.962000,-0.494667"
"2.962000,-0.494667","2.841500,-0.213500"
"2.841500,-0.213500","2.775056,-0.058463"
"3.000000,0.583333","2.962000,0.672000"
"2.962000,0.672000","2.952143,0.695000"
"2.952143,0.695000","2.841500,0.953167"
"2.841500,0.953167","2.720120,1.236386"
"3.000000,1.750000","2.856429,2.085000"
"2.856429,2.085000","2.665185,2.531235"
"3.000000,2.916667","2.781205,3.427188"
"-2.736156,-3.349161","-3.000000,-3.230769"
"-2.807937,-2.778490","-3.000000,-2.692308"
"-0.000000,-3.500000","-0.330159,-3.351852"
"-2.688313,-2.293706","-3.000000,-2.153846"
"1.200000,-3.500000","0.872840,-3.353197"
"0.872840,-3.353197","0.447031,-3.162129"
"0.447031,-3.162129","0.311425,-3.101280"
"0.311425,-3.101280","0.235450,-3.067189"
"-2.632805,-1.780152","-2.962000,-1.632436"
"-2.962000,-1.632436","-3.000000,-1.615385"
"2.400000,-3.500000","2.075838,-3.354543"
"2.075838,-3.354543","1.438448,-3.068534"
"1.438448,-3.068534","0.971813,-2.859147"
"0.971813,-2.859147","0.836206,-2.798298"
"0.836206,-2.798298","0.804995,-2.784293"
"0.804995,-2.784293","0.795429,-2.780000"
"-2.704586,-1.209481","-2.841500,-1.148045"
"-2.841500,-1.148045","-2.962000,-1.093974"
"-2.962000,-1.093974","-3.000000,-1.076923"
"3.000000,-3.230769","2.641447,-3.069880"
"2.641447,-3.069880","2.010091,-2.786579"
"2.010091,-2.786579","1.995429,-2.780000"
"1.995429,-2.780000","1.496594,-2.556164"
